"name"
"Slow fetal growth or low birth weight"
"Asplenia or Dysfunction of the Spleen codes"
"ILD (SNOMED)"
"Second Men B vaccination codes by another healthcare provider"
"Asbestosis"
"Immunosuppression drugs"
"Lipid therapy not indicated codes"
"Sjogren's disease"
"Codes for asthma quality indicator care unsuitable for patient"
"Lewy body (Dementia) (SNOMED) V1"
"Angina diagnosis codes"
"Triglycerides"
"Social prescribing case closed codes"
"Pneumococcal Vaccination Clinical Codes indicative of not being administered"
"Codes indicating the patient has chosen not to receive proprotein convertase subtilisin kexin type inhibitor drug"
"Atherosclerosis, unspecified"
"Primary Malignancy_Kidney and Ureter"
"Total IgE level codes"
"Diabetic retinopathy screening attendance codes"
"Rheumatoid Arthritis Group2"
"Monogenic diabetes or maturity onset diabetes of the young codes"
"Azathioprine systemic medication codes"
"Vitamin B12 deficiency anaemia"
"Angiodysplasia of colon"
"Transplant - stomach (SPL-HES) (OPCS4)"
"OpenPrescribing Measure: Antibiotic stewardship: prescribing of trimethoprim vs nitrofurantoin (numerator)"
"Chronic kidney disease (stages  3-5)"
"3-in-1 Diphtheria tetanus and polio vaccine drug codes"
"Mod Liver Disease"
"Structured medication review codes"
"Salicylate contraindications codes (expiring) (obsolete)"
"Chronic paediatric conditions: Palliative care"
"Bone Marrow Transplant (SNOMED)"
"Invite mental health care review codes"
"Irritable bowel syndrome"
"Spinal stenosis"
"Myasthenia gravis codes"
"First Generation Antipsychotics excluding long acting depots DM&amp;D"
"Demeclocycline (tetracyclines)"
"Trifascicular block"
"Codes indicating the patient has chosen not to give their smoking status"
"Hereditary spherocytosis diagnosis codes"
"Proprotein convertase subtilisin kexin type inhibitor drug not indicated codes"
"Contrceptive"
"Scleritis and episcleritis"
"Shoulder Diagnosis"
"Codes indicating the patient chose not to receive a pneumococcal vaccination"
"has_epilepsy"
"All BMI coded terms"
"Prostate-specific antigen (Numeric Value)"
"Codes for higher dose folic acid for high risk pregnancies"
"Codes that describe the patients alcohol usage"
"Multimorbidity_epilepsy"
"Second hepatitis B vaccination codes"
"Codes for microalbuminuria"
"Liver cirrhosis diagnoses"
"Neuropathic Pain"
"Retinal vascular occlusions"
"Black or African or Caribbean or Black British African ethnicity group codes (2016 grouping) (obsolete)"
"Lithium Therapy"
"Gamma-glutamyl transferase test results codes"
"Diltiazem"
"Foot risk classification codes"
"Right bundle branch block"
"Acute pericarditis"
"pregnancy-icd10-aurum"
"Aminoglycosides (antibacterials)"
"Codes indicating the patient has chosen not to receive non diabetic hyperglycaemia quality indicator care"
"Alanine aminotransferase (ALT) tests (numerical value)"
"Diverticular disease of intestine (acute and chronic)"
"Chronic paediatric conditions: Cardiovascular"
"Diabetes Medication"
"Pneumococcal vaccination persisting contraindication codes"
"Synovitis"
"Genetic syndrome related diabetes codes"
"- Systolic blood pressure"
"Valneva vaccination medication code"
"Teratogenic medicines"
"Codes indicating adverse reaction to proprotein convertase subtilisin kexin type 9 inhibitor"
"Codes indicating the patient has chosen not to receive depression quality indicator care"
"Alcohol Use Disorders Identification Test Consumption (AUDIT C) codes"
"Codes for non diabetic hyperglycaemia quality indicator care unsuitable for patient"
"Asthma exacerbations"
"Hba1C"
"Coronary heart disease (CHD) exception codes"
"BMI"
"symptom colorectal CIBH"
"White Irish ethnicity group codes (2016 grouping) (obsolete)"
"- SCORE2 family-of-models outcome"
"symptom lowerGI abdo mass"
"OpenPrescribing Measure: Antibiotic stewardship: prescribing of trimethoprim vs nitrofurantoin (denominator)"
"Urinary Tract Infection"
"Iron deficiency anaemia"
"Lung cancer codes"
"Tyrosine kinase inhibitor systemic medication codes"
"Chronic paediatric conditions: Other endocrine (excluding diabetes)"
"Single ingredient LABA inhalers"
"Mesenteric thrombus"
"Codes indicating a referral to a  pulmonary rehabilitation programme"
"Peripheral Arterial Disease"
"Epilepsy Drugs"
"Chronic kidney disease codes-stages 3 - 5"
"Adult and child psoriasis codes"
"Lipid-lowering medication"
"Other ethnic group Arab ethnicity group codes (2016 grouping)"
"Mixed - White and Asian Ethnicity"
"Codes for intolerance to statins"
"Sodium tests (numerical value)"
"Impaired glucose tolerance codes"
"Invite for chronic obstructive pulmonary disease (COPD) care review codes"
"Brief intervention for excessive alcohol consumption codes"
"Oxycodone subcutaneous dm+d"
"sick-notes-ctv3"
"Congenital absence of right foot codes"
"Midazolam - end of life"
"Influenza Exclusion (Secondary Care) - Maximal Sensitivity"
"Personalised Care and Support Plan agreed codes"
"Lifestyle advice codes"
"Ambulatory blood pressure codes"
"Codes for serum creatinine"
"Respiratory Virus (Unspecified) Identification (Secondary Care)"
"Orthopaedic Surgery Washout Procedure OPCS codes"
"White Any other White background ethnicity group codes (2016 grouping)"
"1531 - Cognitive impairment"
"dental and gum infections"
"Posttraumatic stress disorder (PTSD)"
"Invite for hypertension care review codes"
"Referral to Community Pharmacist Consultation Service codes"
"Vascular dementia (SNOMED-CT) V1.3"
"Total cholesterol high-density lipoprotein (HDL) codes"
"Deep vein thrombosis, intracranial venous thrombosis"
"Angiotensin II receptor blockers (ARB) contraindications (persisting)"
"Raynaud's syndrome"
"Primary Malignancy_Testicular"
"Moderate asthma diagnosis codes"
"Codes for diabetes melitus in remission. (obsolete)"
"Methotrexate (oral)"
"Metformin drug codes"
"Epilepsy (all) (and incident epilepsy with incidence date)"
"Heart Failure (fatal/non-fatal)"
"COVID identification in primary care - probable covid - positive test"
"Intranasal seasonal influenza vaccine first dose given codes"
"Smoking"
"Employed by nursing home codes"
"Ovarian Cancer"
"Codes indicating FeNO test performed"
"Heart failure medication review codes"
"Topiramate"
"Unspecified dementia (SNOMED-CT) V1.3"
"Systolic blood pressure QoF"
"Code for stopped lithium"
"Amyloidosis codes"
"Ulcerative colitis (UC) codes"
"Ethnicity not given - patient refused"
"intellec_disability"
"GLP-1's (excluding those combined insulin) - dmd"
"Shingles GP vaccination codes"
"Rheumatoid Arthritis Group3"
"Desogestrel"
"1531 - Epilepsy"
"Revision fixation or dislocation OPCS-4 codes"
"Diabetic Ketoacidosis (Secondary Care)"
"Cardiovascular disease (CVD) risk assessment done codes (obsolete)"
"North and East Devon Formulary - 1st line drugs (green)"
"Codes indicating patient has been seen by a health coach"
"Oestradiol"
"Cancer immunotherapy medication"
"Death by diseases of the circulatory system (natural cause)"
"Multiple Sclerosis (ICD-10)"
"White English or Welsh or Scottish or Northern Irish or British ethnicity group codes (2016 grouping) (obsolete)"
"Soluble paracetamol and co-codamol"
"Oral Decongestants"
"Stroke (SNOMED)"
"Acute Appendicitis"
"Severe frailty diagnosis codes"
"Azithromycin Medication"
"Potassium (K)"
"MenACWY GP vaccination codes"
"Dexamfetamine - dmd"
"Lithium carbonate"
"has_mnd_ms_myas_or_huntingtons"
"Ambiguous Fractures - Not Attributed to Trauma, Fragility, or Osteoporosis"
"Obese (BMI 30+)"
"Codes indicating the patient has chosen not to receive a blood test"
"Ca125"
"Known Sensitive Read Codes"
"Codes for total diet replacement programme for people with diabetes"
"Mycophenolate mofetil and mycophenolic sodium systemic medication codes"
"Depression - Elixhauser primary care"
"has_lung_or_oral_cancer"
"Alcohol Problems"
"Inhalers containing inhaled corticosteroids used in chronic obstructive pulmonary disease"
"NHS England Low Priority Treatment - perindopril arginine"
"Preferred place of death codes"
"Clindamycin and lincomycin (antibacterials)"
"Epiglottitis Secondary care"
"Non-COVID19 CVD death"
"Mesenteric anaemia"
"Autoimmune liver disease"
"Codes indicating the patient chose not to receive a shingles vaccination"
"Hepatic failure"
"Loop diuretics Rx"
"International normalised ratio (INR)"
"Lipid lowering"
"Secondary Malignancy_Lymph Nodes"
"Neonatal jaundice (excl haemolytic dz of the newborn)"
"Booster Men B vaccination codes by another healthcare provider"
"Oestrogen and oestrogen-like drugs"
"Diaphragmatic hernia"
"Pneumococcal (PCV) vaccination codes"
"Delirium, not induced by alcohol and other psychoactive substances"
"Allergic and chronic rhinitis"
"Glycated haemoglobin (HbA1c) tests"
"Respiratory failure"
"Deaths by certain infectious and parasitic diseases (natural cause)"
"Worms"
"Opioid-containing medicines (rectal - excluding drugs for substance misuse) - dm+d"
"Specific Dementias"
"Second COVID vaccination administration codes"
"Codes for Medical Research Council (MRC) breathlessness scale score greater than or equal to 3"
"Multimorbidity_connective tissue disorder"
"Atrioventricular block, complete"
"Polymyalgia Rheumatica"
"Chronic paediatric conditions: Non-malignant haematological"
"Calcium Channel Blockers"
"Direct renin inhibitors contraindications (persisting)"
"Codes indicating the patient (via parent or guardian) has chosen not to receive a MMR vaccination"
"Peripheral Vascular"
"Exacerbations of copd"
"Codes for autoimmune disorders not explicitly in the COVID-19 clinically vulnerable criteria"
"Cardiovascular disease (CVD) risk assessment codes"
